ipc_date,analysis_period,county,max_ipc_phase,phase_3_plus_population,total_population,phase_3_plus_percentage,rainfall_date,mean_rainfall_mm,rainfall_3_month_total,rainfall_6_month_total,rainfall_3_month_avg,rainfall_6_month_avg,date,mean_ndvi,ndvi_1_month_mean,ndvi_3_month_mean,ndvi_6_month_mean,ndvi_anomaly
2020-02-01,Feb 2020,Garissa,3,84135,841353,0.1,2020-01-01,17.585268,184.00778007507324,256.41132640838623,61.33592669169108,42.73522106806437,2020-01-01,0.4084119199482812,0.4084119199482812,0.4715100949541088,0.3391183923803182,0.0665357793844997
2020-02-01,Feb 2020,Isiolo,4,40200,268002,0.15,2020-01-01,12.530038,107.44653797149658,152.40960657596588,35.81551265716553,25.401601095994312,2020-01-01,0.414608392586593,0.414608392586593,0.4571696370686351,0.3283770876260295,0.1253839047679769
2020-02-01,Feb 2020,Kajiado,3,55892,1117840,0.05,2020-01-01,50.87979,235.79935455322263,284.0801448822021,78.59978485107422,47.34669081370036,2020-01-01,0.6264514709398151,0.6264514709398151,0.5655551825042683,0.4223408716533639,0.155420412746118
2020-02-01,Feb 2020,Kilifi,4,218068,1453787,0.15,2020-01-01,26.058813,218.4610195159912,436.5419788360596,72.82033983866374,72.75699647267659,2020-01-01,0.7177454004782113,0.7177454004782113,0.7298434250655902,0.6907265005963928,0.2095917775497208
2020-02-01,Feb 2020,Kitui,3,56809,1136187,0.05,2020-01-01,35.35431,357.6648254394531,467.8215847015381,119.2216084798177,77.97026411692302,2020-01-01,0.6991458981903098,0.6991458981903098,0.6327131055815386,0.4700036752131956,0.1426160935053412
2020-02-01,Feb 2020,Kwale,4,130023,866820,0.15,2020-01-01,40.58203,203.4041519165039,477.6908683776856,67.80138397216797,79.61514472961426,2020-01-01,0.7360121469184221,0.7360121469184221,0.735012930231325,0.6259517032676502,0.1786945713177764
2020-02-01,Feb 2020,Laikipia,3,25928,518560,0.05,2020-01-01,29.32322,196.2429275512696,339.8364315032959,65.41430918375652,56.63940525054932,2020-01-01,0.5765369475872805,0.5765369475872805,0.598212599104076,0.5401460774001998,0.1288709988190373
2020-02-01,Feb 2020,Lamu,3,14392,143920,0.1,2020-01-01,16.551762,130.1256446838379,220.4194917678833,43.37521489461263,36.73658196131388,2020-01-01,0.7378029233618514,0.7378029233618514,0.754800613862015,0.7171383387530574,0.1046450526382656
2020-02-01,Feb 2020,Makueni,3,49383,987653,0.05,2020-01-01,36.09556,214.71092987060547,269.7578535079956,71.57030995686848,44.9596422513326,2020-01-01,0.6949411963543874,0.6949411963543874,0.6534565894202685,0.5047340144904736,0.0669266672256874
2020-02-01,Feb 2020,Mandera,4,130119,867457,0.15,2020-01-01,0.91201055,89.69940793514252,170.94097125530243,29.899802645047505,28.49016187588374,2020-01-01,0.4536184240919677,0.4536184240919677,0.5476347837685368,0.4219121691218923,0.136088237679582
