date,year,month,county,mean_rainfall_mm,source_file,rainfall_3_month_total,rainfall_6_month_total,rainfall_3_month_avg,rainfall_6_month_avg
2020-09-01,2020,9,Kitui,4.5341525,chirps-v2.0.2020.09.tif,18.97727346420288,138.60694003105164,6.32575782140096,23.101156671841938
2020-10-01,2020,10,Kitui,13.063625,chirps-v2.0.2020.10.tif,22.917404651641846,46.588297605514526,7.639134883880615,7.764716267585754
2020-11-01,2020,11,Kitui,94.71386,chirps-v2.0.2020.11.tif,112.31163740158081,129.92504954338074,37.4372124671936,21.65417492389679
2020-12-01,2020,12,Kitui,50.014824,chirps-v2.0.2020.12.tif,157.79230880737305,176.76958227157593,52.59743626912435,29.461597045262653
2021-01-01,2021,1,Kitui,6.6453595,chirps-v2.0.2021.01.tif,151.3740429878235,174.29144763946533,50.4580143292745,29.048574606577557
2021-02-01,2021,2,Kitui,8.922866,chirps-v2.0.2021.02.tif,65.58304929733276,177.89468669891357,21.861016432444256,29.649114449818928
2021-03-01,2021,3,Kitui,11.854792,chirps-v2.0.2021.03.tif,27.423017024993896,185.21532583236694,9.141005674997965,30.869220972061157
2021-04-01,2021,4,Kitui,64.73788,chirps-v2.0.2021.04.tif,85.51553440093994,236.88957738876343,28.50517813364665,39.48159623146057
2021-05-01,2021,5,Kitui,28.556772,chirps-v2.0.2021.05.tif,105.14944076538086,170.73249006271362,35.04981358846029,28.45541501045227
2021-06-01,2021,6,Kitui,1.5789114,chirps-v2.0.2021.06.tif,94.87356054782867,122.29657757282257,31.624520182609558,20.38276292880376
2021-07-01,2021,7,Kitui,6.450969,chirps-v2.0.2021.07.tif,36.586652874946594,122.10218727588654,12.19555095831553,20.35036454598109
2021-08-01,2021,8,Kitui,4.506271,chirps-v2.0.2021.08.tif,12.53615152835846,117.68559229373932,4.178717176119487,19.614265382289886
2021-09-01,2021,9,Kitui,3.4198897,chirps-v2.0.2021.09.tif,14.377129793167114,109.25069034099579,4.792376597722371,18.208448390165966
2021-10-01,2021,10,Kitui,13.142409,chirps-v2.0.2021.10.tif,21.068569898605347,57.65522277355194,7.022856632868449,9.60920379559199
2021-11-01,2021,11,Kitui,59.53339,chirps-v2.0.2021.11.tif,76.09568905830383,88.63184058666229,25.365229686101276,14.771973431110382
2021-12-01,2021,12,Kitui,118.80171,chirps-v2.0.2021.12.tif,191.47751140594482,205.85464119911194,63.82583713531494,34.309106866518654
2022-01-01,2022,1,Kitui,7.202064,chirps-v2.0.2022.01.tif,185.53716611862183,206.60573601722717,61.84572203954061,34.43428933620453
2022-02-01,2022,2,Kitui,8.184968,chirps-v2.0.2022.02.tif,134.18874406814575,210.28443312644958,44.729581356048584,35.04740552107493
2022-03-01,2022,3,Kitui,9.4678755,chirps-v2.0.2022.03.tif,24.854907512664795,216.33241891860962,8.284969170888266,36.0554031531016
2022-04-01,2022,4,Kitui,62.464054,chirps-v2.0.2022.04.tif,80.11689758300781,265.65406370162964,26.70563252766927,44.27567728360494
2022-05-01,2022,5,Kitui,7.3014975,chirps-v2.0.2022.05.tif,79.23342704772949,213.42217111587524,26.411142349243164,35.570361852645874
2022-06-01,2022,6,Kitui,2.1500456,chirps-v2.0.2022.06.tif,71.91559720039368,96.77050471305847,23.971865733464558,16.12841745217641
2022-07-01,2022,7,Kitui,5.263988,chirps-v2.0.2022.07.tif,14.71553111076355,94.83242869377136,4.905177036921184,15.805404782295227
2022-08-01,2022,8,Kitui,4.8171782,chirps-v2.0.2022.08.tif,12.23121190071106,91.46463894844055,4.0770706335703535,15.24410649140676
2022-09-01,2022,9,Kitui,3.5505762,chirps-v2.0.2022.09.tif,13.631742477416992,85.54733967781067,4.543914159138997,14.257889946301779
2022-10-01,2022,10,Kitui,9.889665,chirps-v2.0.2022.10.tif,18.257419109344482,32.97295022010803,6.085806369781494,5.495491703351338
2022-11-01,2022,11,Kitui,91.398384,chirps-v2.0.2022.11.tif,104.83862495422363,117.06983685493469,34.94620831807455,19.51163947582245
2022-12-01,2022,12,Kitui,37.241898,chirps-v2.0.2022.12.tif,138.52994632720947,152.16168880462646,46.17664877573649,25.360281467437744
2023-01-01,2023,1,Kitui,7.578055,chirps-v2.0.2023.01.tif,136.21833658218384,154.47575569152832,45.40611219406128,25.745959281921387
2023-02-01,2023,2,Kitui,2.5993361,chirps-v2.0.2023.02.tif,47.419288635253906,152.25791358947754,15.806429545084635,25.37631893157959
2023-03-01,2023,3,Kitui,35.078854,chirps-v2.0.2023.03.tif,45.25624465942383,183.7861909866333,15.08541488647461,30.63103183110555
2023-04-01,2023,4,Kitui,128.15596,chirps-v2.0.2023.04.tif,165.8341498374939,302.05248641967773,55.2780499458313,50.34208106994629
2023-05-01,2023,5,Kitui,14.2717085,chirps-v2.0.2023.05.tif,177.5065221786499,224.9258108139038,59.16884072621664,37.487635135650635
2023-06-01,2023,6,Kitui,3.0462346,chirps-v2.0.2023.06.tif,145.4739031791687,190.73014783859253,48.4913010597229,31.788357973098755
2023-07-01,2023,7,Kitui,6.3506503,chirps-v2.0.2023.07.tif,23.668593406677246,189.50274324417114,7.889531135559082,31.58379054069519
2023-08-01,2023,8,Kitui,4.1683583,chirps-v2.0.2023.08.tif,13.565243244171143,191.07176542282104,4.521747748057048,31.84529423713684
2023-09-01,2023,9,Kitui,3.3131416,chirps-v2.0.2023.09.tif,13.832150220870972,159.30605340003967,4.610716740290324,26.55100890000661
2023-10-01,2023,10,Kitui,38.03737,chirps-v2.0.2023.10.tif,45.51886868476868,69.18746209144592,15.172956228256226,11.531243681907654
2023-11-01,2023,11,Kitui,223.64876,chirps-v2.0.2023.11.tif,264.99926829338074,278.5645115375519,88.33308943112691,46.42741858959198
2023-12-01,2023,12,Kitui,49.80431,chirps-v2.0.2023.12.tif,311.4904365539551,325.32258677482605,103.83014551798503,54.22043112913767
2024-01-01,2024,1,Kitui,12.793272,chirps-v2.0.2024.01.tif,286.24633979797363,331.7652084827423,95.41544659932454,55.29420141379038
2024-02-01,2024,2,Kitui,14.307071,chirps-v2.0.2024.02.tif,76.90465259552002,341.90392088890076,25.634884198506672,56.983986814816795
2024-03-01,2024,3,Kitui,45.368694,chirps-v2.0.2024.03.tif,72.46903705596924,383.9594736099243,24.15634568532308,63.99324560165405
2024-04-01,2024,4,Kitui,126.689,chirps-v2.0.2024.04.tif,186.36476802825928,472.6111078262329,62.12158934275309,78.76851797103882
2024-05-01,2024,5,Kitui,37.497066,chirps-v2.0.2024.05.tif,209.5547637939453,286.45941638946533,69.85158793131511,47.74323606491089
2024-06-01,2024,6,Kitui,1.913127,chirps-v2.0.2024.06.tif,166.099196434021,238.56823348999023,55.36639881134033,39.7613722483317
2024-07-01,2024,7,Kitui,4.680946,chirps-v2.0.2024.07.tif,44.09113931655884,230.45590734481812,14.697046438852945,38.40931789080302
2024-08-01,2024,8,Kitui,4.340374,chirps-v2.0.2024.08.tif,10.934446811676025,220.48921060562134,3.6448156038920083,36.748201767603554
2024-09-01,2024,9,Kitui,2.9335253,chirps-v2.0.2024.09.tif,11.954845190048218,178.0540416240692,3.9849483966827393,29.675673604011536
2024-10-01,2024,10,Kitui,10.677968,chirps-v2.0.2024.10.tif,17.95186734199524,62.04300665855408,5.98395578066508,10.340501109759012
2024-11-01,2024,11,Kitui,148.09042,chirps-v2.0.2024.11.tif,161.7019169330597,172.63636374473572,53.90063897768656,28.772727290789287
2024-12-01,2024,12,Kitui,37.274548,chirps-v2.0.2024.12.tif,196.0429391860962,207.9977843761444,65.3476463953654,34.66629739602407
2025-01-01,2025,1,Kitui,10.195041,chirps-v2.0.2025.01.tif,195.5600118637085,213.51187920570374,65.18667062123616,35.58531320095062
2025-02-01,2025,2,Kitui,2.114186,chirps-v2.0.2025.02.tif,49.58377432823181,211.2856912612915,16.52792477607727,35.21428187688192
2025-03-01,2025,3,Kitui,78.915184,chirps-v2.0.2025.03.tif,91.22441077232361,287.2673499584198,30.40813692410787,47.87789165973663
2025-04-01,2025,4,Kitui,87.68079,chirps-v2.0.2025.04.tif,168.71016383171082,364.2701756954193,56.23672127723694,60.71169594923655
2025-05-01,2025,5,Kitui,15.994714,chirps-v2.0.2025.05.tif,182.59069156646729,232.1744658946991,60.8635638554891,38.69574431578318
2025-06-01,2025,6,Kitui,2.3958144,chirps-v2.0.2025.06.tif,106.07132196426392,197.29573273658752,35.3571073214213,32.88262212276459
2025-07-01,2025,7,Kitui,4.3228984,chirps-v2.0.2025.07.tif,22.71342658996582,191.42359042167664,7.571142196655273,31.903931736946106
2025-08-01,2025,8,Kitui,5.514356,chirps-v2.0.2025.08.tif,12.233068943023682,194.82376050949097,4.0776896476745605,32.470626751581825
2025-09-01,2025,9,Kitui,3.8126833,chirps-v2.0.2025.09.tif,13.649937868118286,119.7212598323822,4.549979289372762,19.953543305397034
2025-10-01,2025,10,Kitui,42.278534,chirps-v2.0.2025.10.tif,51.605573415756226,74.31900000572205,17.201857805252075,12.386500000953674
2025-11-01,2025,11,Kitui,37.920288,chirps-v2.0.2025.11.tif,84.0115053653717,96.24457430839539,28.00383512179057,16.040762384732563
2025-12-01,2025,12,Kitui,62.00538,chirps-v2.0.2025.12.tif,142.2042007446289,155.8541386127472,47.40140024820963,25.9756897687912
2026-01-01,2026,1,Kitui,3.009862,chirps-v2.0.2026.01.tif,102.93552875518799,154.5411021709442,34.311842918395996,25.756850361824036
2026-02-01,2026,2,Kitui,39.710224,chirps-v2.0.2026.02.tif,104.72546482086182,188.73697018623352,34.908488273620605,31.456161697705586
