month,national_beans_price_per_kg,national_maize_price_per_kg,national_rice_price_per_kg,national_staple_price_per_kg,national_maize_price_per_kg_3_month_avg,national_maize_price_per_kg_6_month_avg,national_beans_price_per_kg_3_month_avg,national_beans_price_per_kg_6_month_avg,national_rice_price_per_kg_3_month_avg,national_rice_price_per_kg_6_month_avg,national_staple_price_per_kg_3_month_avg,national_staple_price_per_kg_6_month_avg
2010-04-01,53.04944444444444,24.934871794871796,,38.992158119658114,26.333395061728396,28.351739197530865,52.682825925925926,54.362001440329216,,,39.50811049382716,41.35687031893004
2010-05-01,51.2075,23.499074074074073,,37.353287037037035,24.865821462488128,27.21573611111111,52.52084444444444,53.330885185185174,,,38.69333295346629,40.27331064814815
2010-06-01,48.20955555555555,22.24034188034188,,35.22494871794872,23.558095916429252,25.86321593067427,50.82216666666667,51.94453333333334,,,37.19013129154795,38.9038746320038
2010-07-01,43.03511111111111,21.84138888888889,,32.43825,22.526934947768282,24.430165004748336,47.48405555555556,50.083440740740734,,,35.00549525166192,37.25680287274454
2010-08-01,45.45711111111111,21.6375,,33.54730555555555,21.906410256410258,23.386115859449195,45.56725925925925,49.044051851851854,,,33.73683475783475,36.215083855650526
2010-09-01,52.175185185185185,21.150427350427353,,36.66280626780627,21.543105413105412,22.55060066476733,46.889135802469134,48.855651234567894,,,34.21612060778727,35.703125949667616
2010-10-01,54.33864197530864,21.393796296296298,,37.86621913580247,21.39390788224122,21.96042141500475,50.65697942386831,49.07051748971193,,,36.02544365305476,35.51546945235834
2010-11-01,51.48766666666667,22.196153846153848,,36.84191025641026,21.580125830959165,21.74326804368471,52.66716460905349,49.11721193415638,,,37.12364522000633,35.43023998892054
2010-12-01,52.66711111111111,23.009259259259256,,37.83818518518518,22.199736467236466,21.87142094017094,52.831139917695474,49.86013786008231,,,37.51543819246597,35.86577940012662
2011-01-01,54.28074074074074,24.512777777777774,,39.396759259259255,23.239396961063623,22.31665242165242,52.811839506172845,51.734409465020576,,,38.025618233618225,37.0255309433365
2011-02-01,56.09259259259259,26.041965811965813,,41.0672792022792,24.521334283000943,23.050730056980058,54.34681481481481,53.50698971193416,,,39.43407454890788,38.27885988445711
2011-03-01,61.260333333333335,28.558803418803418,,44.90956837606838,26.371182336182333,24.285459401709403,57.211222222222226,55.021181069958836,,,41.79120227920228,39.65332023583412
2011-04-01,74.26677777777778,34.25333333333333,,54.26005555555555,29.618034188034187,26.428715574548907,63.87323456790123,58.34253703703703,,,46.74563437796771,42.385626305792975
2011-05-01,82.06677777777779,40.33769230769231,,61.20223504273505,34.38327635327635,29.452305318138645,72.5312962962963,63.43905555555555,,,53.45728632478633,46.445680436847105
2011-06-01,78.4748888888889,45.363076923076925,,61.918982905982915,39.984700854700854,33.177941595441595,78.26948148148149,67.74035185185186,,,59.12709116809117,50.45914672364673
2011-07-01,69.52688888888889,51.31666666666666,,60.42177777777778,45.67247863247863,37.64525641025641,76.68951851851853,70.28137654320987,,,61.180998575498585,53.96331647673315
