county,date,mean_ndvi,ndvi_1_month_mean,ndvi_3_month_mean,ndvi_6_month_mean,ndvi_anomaly
Baringo,2023-06-01,0.4969815425832949,0.4969815425832949,0.5609608368430721,0.46284247526574446,-0.06977683898567705
Baringo,2023-07-01,0.4869693425856736,0.4869693425856736,0.5303412178831196,0.47808723509927775,-0.0896674094451253
Baringo,2023-08-01,0.472452651768402,0.472452651768402,0.4854678456457902,0.5024137327054315,-0.13462486828707643
Baringo,2023-09-01,0.4891431363539357,0.4891431363539357,0.4828550435693371,0.5219079402062046,-0.07720675170154667
Baringo,2023-10-01,0.4850641193900932,0.4850641193900932,0.4822199691708104,0.506280593526965,-0.04814036389740117
Baringo,2023-11-01,0.5679872003903059,0.5679872003903059,0.514064818711445,0.4997663321786175,0.030558294298462685
Baringo,2023-12-01,0.52395597652474,0.52395597652474,0.5256690987683798,0.5042620711688585,0.012632351743108838
Baringo,2024-01-01,0.4511155476094184,0.4511155476094184,0.5143529081748216,0.49828643867281586,-0.003414978499403254
Baringo,2024-02-01,0.4053911940339642,0.4053911940339642,0.4601542393893743,0.48710952905040955,-0.007364977017943308
Baringo,2024-03-01,0.408928448125704,0.408928448125704,0.4218117299230289,0.4737404143457043,-0.032500596005785864
Baringo,2024-04-01,0.5586855883581603,0.5586855883581603,0.45766841017260956,0.48601065917371544,0.015997322482058318
Baringo,2024-05-01,0.6729511487538845,0.6729511487538845,0.5468550617459164,0.5035046505676453,0.08247805806465247
Baringo,2024-06-01,0.5939742906188871,0.5939742906188871,0.6085370092436441,0.5151743695833364,0.02721590904991511
Baringo,2024-07-01,0.6053636677525729,0.6053636677525729,0.6240963690417815,0.5408823896071956,0.028726915721773993
Baringo,2024-08-01,0.6861252666190923,0.6861252666190923,0.6284877416635174,0.5876714017047169,0.07904774656361391
Baringo,2024-09-01,0.618726054210033,0.618726054210033,0.6367383295272327,0.6226376693854384,0.05237616615455065
Baringo,2024-10-01,0.5283892007218274,0.5283892007218274,0.6110801738503177,0.6175882714460496,-0.0048152825656669895
Baringo,2024-11-01,0.5076433980736345,0.5076433980736345,0.5515862176684982,0.5900369796660079,-0.029785508018208784
Baringo,2024-12-01,0.5739988700848654,0.5739988700848654,0.5366771562934424,0.5867077429103376,0.0626752453032342
