date,analysis_period,county,max_ipc_phase,phase_3_plus_population,total_population,phase_3_plus_percentage
2024-07-01,Jul 2024,Marsabit,3,70906,515000,0.1377
2024-07-01,Jul 2024,Meru,3,39750,795000,0.05
2024-07-01,Jul 2024,Narok,2,0,1284000,0.0
2024-07-01,Jul 2024,Nyeri,2,0,205000,0.0
2024-07-01,Jul 2024,Samburu,3,34800,348000,0.1
2024-07-01,Jul 2024,Taita Taveta,2,0,364000,0.0
2024-07-01,Jul 2024,Tana River,3,52950,353000,0.15
2024-07-01,Jul 2024,Tharaka Nithi,2,0,178000,0.0
2024-07-01,Jul 2024,Turkana,4,196119,1023000,0.1917
2024-07-01,Jul 2024,Wajir,3,87100,871000,0.1
2024-07-01,Jul 2024,West Pokot,2,0,676000,0.0
2025-02-01,Feb 2025,Baringo,3,73300,733000,0.1
2025-02-01,Feb 2025,Embu,3,14050,281000,0.05
2025-02-01,Feb 2025,Garissa,4,185400,927000,0.2
2025-02-01,Feb 2025,Isiolo,3,47400,316000,0.15
2025-02-01,Feb 2025,Kajiado,3,63400,1268000,0.05
2025-02-01,Feb 2025,Kilifi,3,157700,1577000,0.1
2025-02-01,Feb 2025,Kitui,3,61500,1230000,0.05
2025-02-01,Feb 2025,Kwale,3,141600,944000,0.15
2025-02-01,Feb 2025,Laikipia,3,28050,561000,0.05
2025-02-01,Feb 2025,Lamu,3,16700,167000,0.1
2025-02-01,Feb 2025,Makueni,3,104200,1042000,0.1
2025-02-01,Feb 2025,Mandera,4,287700,959000,0.3
2025-02-01,Feb 2025,Marsabit,4,128750,515000,0.25
2025-02-01,Feb 2025,Meru,3,119250,795000,0.15
2025-02-01,Feb 2025,Narok,3,64200,1284000,0.05
2025-02-01,Feb 2025,Nyeri,3,10250,205000,0.05
2025-02-01,Feb 2025,Samburu,3,52200,348000,0.15
2025-02-01,Feb 2025,Taita Taveta,3,18200,364000,0.05
2025-02-01,Feb 2025,Tana River,3,52950,353000,0.15
2025-02-01,Feb 2025,Tharaka Nithi,3,8900,178000,0.05
2025-02-01,Feb 2025,Turkana,4,306900,1023000,0.3
2025-02-01,Feb 2025,Wajir,4,174200,871000,0.2
2025-02-01,Feb 2025,West Pokot,3,33800,676000,0.05
2025-07-01,Jul 2025,Baringo,4,109950,733000,0.15
2025-07-01,Jul 2025,Embu,3,14050,281000,0.05
2025-07-01,Jul 2025,Garissa,3,139050,927000,0.15
2025-07-01,Jul 2025,Isiolo,3,31600,316000,0.1
2025-07-01,Jul 2025,Kajiado,3,63400,1268000,0.05
2025-07-01,Jul 2025,Kilifi,3,78850,1577000,0.05
2025-07-01,Jul 2025,Kitui,3,123000,1230000,0.1
2025-07-01,Jul 2025,Kwale,3,94400,944000,0.1
2025-07-01,Jul 2025,Laikipia,3,28050,561000,0.05
2025-07-01,Jul 2025,Lamu,3,25050,167000,0.15
2025-07-01,Jul 2025,Makueni,3,52100,1042000,0.05
2025-07-01,Jul 2025,Mandera,4,287700,959000,0.3
2025-07-01,Jul 2025,Marsabit,3,103000,515000,0.2
2025-07-01,Jul 2025,Meru,3,79500,795000,0.1
2025-07-01,Jul 2025,Narok,3,64200,1284000,0.05
2025-07-01,Jul 2025,Nyeri,3,10250,205000,0.05
2025-07-01,Jul 2025,Samburu,3,34800,348000,0.1
2025-07-01,Jul 2025,Taita Taveta,2,0,364000,0.0
2025-07-01,Jul 2025,Tana River,3,52950,353000,0.15
2025-07-01,Jul 2025,Tharaka Nithi,2,0,178000,0.0
2025-07-01,Jul 2025,Turkana,4,204600,1023000,0.2
2025-07-01,Jul 2025,Wajir,4,130650,871000,0.15
2025-07-01,Jul 2025,West Pokot,3,33800,676000,0.05
2026-02-01,Feb 2026,Baringo,3,114600,764000,0.15
2026-02-01,Feb 2026,Embu,3,14800,296000,0.05
2026-02-01,Feb 2026,Garissa,4,242750,971000,0.25
2026-02-01,Feb 2026,Isiolo,3,66000,330000,0.2
2026-02-01,Feb 2026,Kajiado,3,66400,1328000,0.05
2026-02-01,Feb 2026,Kilifi,3,245550,1637000,0.15
