date,year,month,county,mean_rainfall_mm,source_file
2019-06-01,2019,6,Marsabit,3.5487874,chirps-v2.0.2019.06.tif
2019-06-01,2019,6,Meru,11.755141,chirps-v2.0.2019.06.tif
2019-06-01,2019,6,Narok,55.062008,chirps-v2.0.2019.06.tif
2019-06-01,2019,6,Nyeri,51.85834,chirps-v2.0.2019.06.tif
2019-06-01,2019,6,Samburu,16.293228,chirps-v2.0.2019.06.tif
2019-06-01,2019,6,Taita Taveta,10.589455,chirps-v2.0.2019.06.tif
2019-06-01,2019,6,Tana River,7.7620854,chirps-v2.0.2019.06.tif
2019-06-01,2019,6,Tharaka Nithi,5.6455364,chirps-v2.0.2019.06.tif
2019-06-01,2019,6,Turkana,20.90213,chirps-v2.0.2019.06.tif
2019-06-01,2019,6,Wajir,1.038808,chirps-v2.0.2019.06.tif
2019-06-01,2019,6,West Pokot,58.4104,chirps-v2.0.2019.06.tif
2019-07-01,2019,7,Baringo,64.74567,chirps-v2.0.2019.07.tif
2019-07-01,2019,7,Embu,5.888809,chirps-v2.0.2019.07.tif
2019-07-01,2019,7,Garissa,11.40561,chirps-v2.0.2019.07.tif
2019-07-01,2019,7,Isiolo,0.63887733,chirps-v2.0.2019.07.tif
2019-07-01,2019,7,Kajiado,1.7468777,chirps-v2.0.2019.07.tif
2019-07-01,2019,7,Kilifi,43.6416,chirps-v2.0.2019.07.tif
2019-07-01,2019,7,Kitui,7.0020647,chirps-v2.0.2019.07.tif
2019-07-01,2019,7,Kwale,32.33443,chirps-v2.0.2019.07.tif
2019-07-01,2019,7,Laikipia,29.619131,chirps-v2.0.2019.07.tif
2019-07-01,2019,7,Lamu,37.82546,chirps-v2.0.2019.07.tif
2019-07-01,2019,7,Makueni,3.88025,chirps-v2.0.2019.07.tif
2019-07-01,2019,7,Mandera,2.7337174,chirps-v2.0.2019.07.tif
2019-07-01,2019,7,Marsabit,4.8301797,chirps-v2.0.2019.07.tif
2019-07-01,2019,7,Meru,5.8867483,chirps-v2.0.2019.07.tif
2019-07-01,2019,7,Narok,20.227468,chirps-v2.0.2019.07.tif
2019-07-01,2019,7,Nyeri,21.794931,chirps-v2.0.2019.07.tif
2019-07-01,2019,7,Samburu,9.589373,chirps-v2.0.2019.07.tif
2019-07-01,2019,7,Taita Taveta,10.871169,chirps-v2.0.2019.07.tif
2019-07-01,2019,7,Tana River,10.433042,chirps-v2.0.2019.07.tif
2019-07-01,2019,7,Tharaka Nithi,4.244519,chirps-v2.0.2019.07.tif
2019-07-01,2019,7,Turkana,19.96776,chirps-v2.0.2019.07.tif
2019-07-01,2019,7,Wajir,3.052743,chirps-v2.0.2019.07.tif
2019-07-01,2019,7,West Pokot,63.960274,chirps-v2.0.2019.07.tif
2019-08-01,2019,8,Baringo,70.05252,chirps-v2.0.2019.08.tif
2019-08-01,2019,8,Embu,6.4681163,chirps-v2.0.2019.08.tif
2019-08-01,2019,8,Garissa,4.2111197,chirps-v2.0.2019.08.tif
2019-08-01,2019,8,Isiolo,0.37484175,chirps-v2.0.2019.08.tif
2019-08-01,2019,8,Kajiado,2.4213061,chirps-v2.0.2019.08.tif
2019-08-01,2019,8,Kilifi,25.112461,chirps-v2.0.2019.08.tif
2019-08-01,2019,8,Kitui,6.71935,chirps-v2.0.2019.08.tif
2019-08-01,2019,8,Kwale,35.643642,chirps-v2.0.2019.08.tif
