county,month,county_beans_price_per_kg,county_maize_price_per_kg,county_rice_price_per_kg,county_staple_price_per_kg,county_price_available,county_staple_items_available,county_maize_price_per_kg_3_month_avg,county_maize_price_per_kg_6_month_avg,county_beans_price_per_kg_3_month_avg,county_beans_price_per_kg_6_month_avg,county_rice_price_per_kg_3_month_avg,county_rice_price_per_kg_6_month_avg,county_staple_price_per_kg_3_month_avg,county_staple_price_per_kg_6_month_avg
Garissa,2016-03-01,,50.0,,50.0,1,1,50.0,50.0,,,,,50.0,50.0
Garissa,2016-05-01,,51.0,,51.0,1,1,50.333333333333336,50.166666666666664,,,,,50.333333333333336,50.166666666666664
Garissa,2016-06-01,,60.0,,60.0,1,1,53.666666666666664,51.833333333333336,,,,,53.666666666666664,51.833333333333336
Garissa,2016-07-01,,50.0,,50.0,1,1,53.666666666666664,51.833333333333336,,,,,53.666666666666664,51.833333333333336
Garissa,2016-08-01,,50.0,,50.0,1,1,53.333333333333336,51.833333333333336,,,,,53.333333333333336,51.833333333333336
Garissa,2016-09-01,,50.0,,50.0,1,1,50.0,51.833333333333336,,,,,50.0,51.833333333333336
Garissa,2016-10-01,,55.0,,55.0,1,1,51.666666666666664,52.666666666666664,,,,,51.666666666666664,52.666666666666664
Garissa,2016-11-01,,55.0,,55.0,1,1,53.333333333333336,53.333333333333336,,,,,53.333333333333336,53.333333333333336
Garissa,2016-12-01,,55.0,,55.0,1,1,55.0,52.5,,,,,55.0,52.5
Garissa,2017-01-01,,55.0,,55.0,1,1,55.0,53.333333333333336,,,,,55.0,53.333333333333336
Garissa,2017-02-01,,55.0,,55.0,1,1,55.0,54.166666666666664,,,,,55.0,54.166666666666664
Garissa,2017-03-01,,59.0,,59.0,1,1,56.333333333333336,55.666666666666664,,,,,56.333333333333336,55.666666666666664
Garissa,2017-04-01,,60.0,,60.0,1,1,58.0,56.5,,,,,58.0,56.5
Garissa,2017-05-01,,50.0,,50.0,1,1,56.333333333333336,55.666666666666664,,,,,56.333333333333336,55.666666666666664
Garissa,2017-06-01,,60.0,,60.0,1,1,56.666666666666664,56.5,,,,,56.666666666666664,56.5
Garissa,2017-07-01,,60.0,,60.0,1,1,56.666666666666664,57.333333333333336,,,,,56.666666666666664,57.333333333333336
Garissa,2017-08-01,,65.0,,65.0,1,1,61.666666666666664,59.0,,,,,61.666666666666664,59.0
Garissa,2017-09-01,,65.0,,65.0,1,1,63.333333333333336,60.0,,,,,63.333333333333336,60.0
Garissa,2017-10-01,,65.0,,65.0,1,1,65.0,60.833333333333336,,,,,65.0,60.833333333333336
Garissa,2017-11-01,,65.0,,65.0,1,1,65.0,63.333333333333336,,,,,65.0,63.333333333333336
Garissa,2017-12-01,,65.0,,65.0,1,1,65.0,64.16666666666667,,,,,65.0,64.16666666666667
Garissa,2018-01-01,,65.0,,65.0,1,1,65.0,65.0,,,,,65.0,65.0
Garissa,2018-02-01,,65.0,,65.0,1,1,65.0,65.0,,,,,65.0,65.0
